song_name,artist,release,lyrics,thumbnail,album,genre,link
Tere Liye,"Atif Aslam, Akanksha Bhandari",2018,"Tu hi bataa Kaun tu hai mera Kab se tu dil mein Rehta hai kya pata  Kyun laage mujhe Tere bin zindagi Ek pal bhi kabhi payegi na khushi  Tujhko pehchaana Maine tab jaana Ki zinda hoon main  Tere liye... sirf tere liye Har pal rahoon main sirf tere liye Tere liye... sirf tere liye Har pal rahoon main sirf tere liye  Chaayi si hai aarzoo jo dil pe mere Kya wahi aarzoo hai tujhko bhi ghere Pal jo sang beete unki tasveere Rakh le aankhon mein yun hum dono Phir tu kahin bhi ho, lage paas hi mujhko Ki zinda hoon main  Tere liye... sirf tere liye Har pal rahoon main sirf tere liye Tere liye... sirf tere liye Har pal rahoon main sirf tere liye  Ki kaha jehdi mann di ae gal Tu te ho sakda ae paagal Baat meri rahi ankahi ansuni Tu samajh le sanam Chaahe main kahoon na kahoon, haaye Main te jaana dil se teri hoon  Kal tak hum dono ajnabi se thhe raahon mein Aaj hai tu hi meri saanson mein aahon mein Koi batlaaye sapne kab chaaye Paas kab aaye yun hum dono Jaaga hai kya jaadu Bas main hoon aur bas tu Ki zinda hoon main  Tere liye... sirf tere liye Har pal rahoon main sirf tere liye Tere liye... sirf tere liye Har pal rahoon main sirf tere liye",https://i.ytimg.com/vi/JthilAJjjW8/hqdefault.jpg,Namaste England (Original Motion Picture Soundtrack),bollywood,https://www.youtube.com/results?search_query=Tere%20Liye%20Atif%20Aslam%2C%20Akanksha%20Bhandari
Bhare Bazaar,"Vishal Dadlani, Payal Dev, Badshah, B Praak",2018,"Kalle na jaana Kalle na jaana Kalle na jaana Kalle na jaana  Bhare bazaar baby Bhare bazaar baby  Bhare bazaar baby kalle na jaana Nai te shor mach jaayega Bhare bazaar baby kalle na jaana Nai te shor mach jaayega  Har koyi aashiq Har koyi aashiq Har koyi aashiq Tujhe tere ghar tak chhodne aayega  Bhare bazaar baby kalle na jaana Nai te shor mach jaayega  Ho jhagda kara degi tu Aashikon ke beech mein Phir bhi tu aayegi na Kisi ki bhi reach mein  Ho jhagda kara degi tu Aashikon ke beech mein Phir bhi tu aayegi na Kisi ki bhi reach mein  Kehti dafaa ho jaa Kehti dafaa ho jaa Kehti dafaa ho jaa Par baby aisa kabhi ho nahi payega  Bhare bazaar baby kalle na jaana Nai te shor mach jaayega  Main kya keh raha tha Sunn!  Baby mujhko pata hai tera mann hai bada Tabhi floor pe teri wait mein hoon khada Aise baithe baithe tu na shoulder hila Thoda pair utha, saanu nach ke vekha  Ae akhiyon se goli maarti rehti Dilon ko sooli taangti rehti School vool ki teacher hai kya Jab dekho lecture jhaadti rehti  Tere liye likha yeh gaana Sath mein mere gaayegi ki Ghoor ghoor kyun dekhe madam Arre khaayegi kya Arre khaayegi kya  Haan koyi to batao mujhe Kya main karoon iska Apne dramon pe hai Bas nahi jiska  Haan koyi to batao mujhe Kya main karoon iska Apne dramon pe hai Bas nahi jiska  Phir na tu kehna mujhe Phir na tu kehna mujhe Phir na tu kehna mujhe Jab dil tera pairon ke neeche mere aayega  Bhare bazaar baby kalle na jaana Nai te shor mach jaayega  Teri na maanugi main Tu hai deewana haan tu baaz na aayega  Shor mach jayega Baaz na aayega Shor mach jayega Shor mach, shor mach Shor shor shor shor shor jayega",https://i.ytimg.com/vi/A4jxHSHneLI/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Bhare%20Bazaar%20Vishal%20Dadlani%2C%20Payal%20Dev%2C%20Badshah%2C%20B%20Praak
Dhoom Dhadaka,"Shahid Mallya, Antara Mitra",2018,Dhoom dhadakka ho gaya toh Hosh saara kho gaya toh Aaj keh de baat dil ki baawre [x2]  Tu rang rangeeli aayi hai Nakhre apne sang laayi hai Mere mann goonji Shehnai hai re…  Tim lakk lakk te Tim lakk lakk te Tim lakk lakk te re… [x2]  Har pal na tujhe agar dekh sake Kis kaam ke yeh naina Har ghadi tera hi dhyan mujhe Woh din ho ya raina  Sohni tu Mahiwal hoon main Tu Heer hai main Ranjha Dono ek dhunki mein hai Panga lenge sanjha  Badbadaaye koi toh Badbadaane de usko re…  Ki ab hain mere din meri raatein Naye naye sapne gaate Bhonchakka bhonchakka main Ul-jalul meri baatein  Mere din meri raatein Naye naye sapne gaate Bhonchakka bhonchakka main Ul-jalul meri baatein  Tim lakk lakk te Tim lakk lakk te Tim lakk lakk te re… [x2]  Jab se hai tujhko taada Tab se main ratun pahaada Teri chahat ka Teri ulfat ka [x2]  Phirta thha main hatta katta Lagaa tere naam ka ratta Lo baandhe pyar ka patta main hoon Tilmilaaye duniya to Tilmilaane de usko re…  Ki ab hain mere din meri raatein Naye naye sapne gaate Bhonchakka bhonchakka main Ul-jalul meri baatein  Mere din meri raatein Naye naye sapne gaate Bhonchakka bhonchakka main Ul-jalul meri baatein  Tim lakk lakk te Tim lakk lakk te Tim lakk lakk te re… [x2]  Dekh mujhe na aise ki sharmaaun main Paas na itne aana ki ghabraaun main Chaahun jo bataana bhi to kaise bataaun main Tum dekhte ho toh dhadkan kitni badhti hai Dhadkan kitni badhti hai Paas aate ho to uljhan kitni badhti hai Uljhan kitni badhti hai  Baje pyar ke dhol aur taashe Toh mann mein phoote bataashe Tann jhooma hai Sar ghooma hai [x2]  Tu prem nasha jo ghole To main hoon baahein khole Dil dhadak dhadak yehi bole Aa jaa…  Hichkichaye tera mann to Hichkichane de usko re…  Ki ab hain mere din meri raatein Naye naye sapne gaate Bhonchakka bhonchakka main Ul-jalul meri baatein  Mere din meri raatein Naye naye sapne gaate Bhonchakka bhonchakka main Ul-jalul meri baatein  Tim lakk lakk te Tim lakk lakk te Tim lakk lakk te re… [x2]  Dhoom dhadaka ho gaya toh Hosh saara kho gaya toh Aaj keh de baat dil ki baawre (x2)ml,https://i.ytimg.com/vi/UpwrMaCY77Q/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Dhoom%20Dhadaka%20Shahid%20Mallya%2C%20Antara%20Mitra
Proper Patola,"Badshah, Diljit Dosanjh, Aastha Gill",2018,"Proper patola Nakhra ae swag Suit Patiala shahi chunni teri black O munde honke bharde Tainu takk takk ke Turre jadon hath tu Lakk utte rakh ke  Proper patola Nakhra ae swag Suit Patiala shahi Chunni meri black O munde honke bharde Mainu takk takk ke Nachan jadon hath main Lakk utte rakh ke  Look! Rabb ne husna di rakhi koi thod nahi Gallan di laali nu makeup di koi lod nahi Phull ne gulaab de Bull ne janaab de Sonh lagge mummy di mainu Tera koi tod nahi Thodi te til kaala kudiye ni baatan paave Suit Patiala, Gucci Vucci nu maatan paave Ghar tera ni main aape labh loon Saanu bas das ja tu naa’m  Proper patola Nakhra ae swag Suit Patiala shahi chunni teri black O munde honke bharde Tainu takk takk ke Turre jadon hath tu Lakk utte rakh ke  Main laa dun tujhe haar Pehna doon tujhe kangan Ho taiyyar Ghuma doon tujhe London Haath mein rakhun haath rakhe jis cheez pe Heere jadwa doon teri kaali kameez pe  Aaja mere paas, kar guzarish Paise ki kya baat Kar doon noton ki baarish Itna na soch haath mera thaam Tujhe yaad rahegi zindagi bhar ye shaam  Ja mundeya ve tere bas di ni gal Na nach mere naal aake tu close Haan chal patli gali se tu nikal Tere jaison ko rakhti hoon on-toes Kyun bole lie tu Na kare try tu Jaa jaa tu bete ghar ja  Proper patola Nakhra ae swag Suit Patiala shahi chunni teri black O munde honke bharde Tainu takk takk ke Turre jadon hath tu Lakk utte rakh ke  Proper patola Nakhra ae swag Suit Patiala shahi Chunni meri black O munde honke bharde Mainu takk takk ke Nachan jadon hath main Lakk utte rakh ke",https://i.ytimg.com/vi/YmXJp4RtBCM/hqdefault.jpg,Namaste England (Original Motion Picture Soundtrack),"bollywood, desi, hindi pop, desi hip hop, hindi hip hop, desi pop",https://www.youtube.com/results?search_query=Proper%20Patola%20Badshah%2C%20Diljit%20Dosanjh%2C%20Aastha%20Gill
Kya Kahoon Janeman,Shashaa Tirupati,2018,"Ooh… aah! Baby let me love you Ooh… aah! Baby let me kiss you Ooh… aah! Baby let me hug you Ooh… aah! Baby let me, love you  In baazuon mein jo le lo mujhe To chain shayad miley Aao mita bhi do ab toh mere Tann mann ke saare giley  Main hoon tarsi tarsi Tarsa tarsa hai yeh mann Kya kahoon jaaneman Jalta hai kyun yeh badan Kya kahun jaaneman Jalta hai kyun yeh badan  Ooh… aah! Baby let me love you Ooh… aah! Baby let me kiss you Ooh… aah! Baby let me hug you Ooh… aah! Baby let me, love you  Dekho dheeme dheeme Haan kaise hosh kho gaye Ho.. tum to dheere dheere Haan bas mere ho gaye Bechainiyan aur main hoon Betaabiyan aur main hoon Meethi si har ang mein hai thakan  Kya kahoon jaaneman Jalta hai kyun yeh badan Kya kahun jaan-e-man Jalta hai kyun yeh badan  Main hoon baawali si Haan tum bhi ho manchale Hmm... dekho mitne hi thhe Haan jo bhi thhe faasle Ab na koi main aur na tum Ik doosre mein dono gum Kaisi hai deewane dil ki lagan  Kya kahoon jaaneman Jalta hai kyun yeh badan Kya kahun jaan-e-man Jalta hai kyun yeh badan  Ooh… aah! Baby let me love you Ooh… aah! Baby let me kiss you Ooh… aah! Baby let me hug you Ooh… aah! Baby let me, love you",https://i.ytimg.com/vi/D_rea7tbufU/hqdefault.jpg,Unknown,Unknown,https://www.youtube.com/results?search_query=Kya%20Kahoon%20Janeman%20Shashaa%20Tirupati
Tu Meri Main Tera,"Rahat Fateh Ali Khan, Altamash Faridi, Shadab Faridi",2018,"Main yahaan, main wahaan Chaahe jaaun jahaan Poochhta hai yeh dil Tu kahaan, tu kahaan  Main saara jag chhod ke Nikla hoon ek tere hi vaaste Dooriyan hain bichhin raaste raaste  Kitni bhi doori ho Koi majboori ho Maine yeh thaana hai Tujhko hi paana hai  Aa raha hoon main banke deewana Maan hi lega ek din zamaana  Tu meri main tera… [x4]  Tu meri main tera… [x4]  Meri tanhaiyan kar rahi hai bayaan Unn dino ki haseen dastaan Jab ki hum saath thhe Haath mein haath thhe Lamha lamha haseen tha samaa  Yaadein barse na kyun Aankhein tarse na kyun Dhoondhti hai ye tera thikana Tu mile toh hai bas ye bataana  Tu meri main tera… [x4]  Tu meri main tera… [x4]  Yeh safar hai kathin Mushqilein raat din Saaye ki tarah hai saath mere  Paaon zakhmi sahi Dil ko hai zidd yahi Jaana hi hai isey paas tere Raah ka soonapan Aur tann ki thakan Kitne teeron ka main hoon nishana Phir bhi jaana toh maine yeh jaana  Tu meri main tera… [x4]  Tu meri main tera… [x4]",https://i.ytimg.com/vi/0FpbAbL-H98/hqdefault.jpg,Namaste England (Original Motion Picture Soundtrack),bollywood,https://www.youtube.com/results?search_query=Tu%20Meri%20Main%20Tera%20Rahat%20Fateh%20Ali%20Khan%2C%20Altamash%20Faridi%2C%20Shadab%20Faridi
Ziddi Hai Dil,Mannan Shah,2018,Ziddi hai dil sunta nahi Ke mushqil hai kya Ziddi hai dil sunta nahi Ke mushqil hai kya  Behlaun main Lakh samjhaaun main Magar dil hatheela kahey  Tum hi iski ho tamanna Tum hi iski aarzoo Dil hai mera ik jazeera Tum samandar chaar su  Dil ka main kya karun Main jiyun ya marun Kya karun kya karun Tum kaho kya karun  Kehta hai yeh dil Zindagi raat hai aur tum roshni Rehta hai yeh dil Khwabon ki duniya me jo hai tumse bani Sehta hai yeh dil Tum bin ik aisi rut hai jo tanhaai ki Behta hai yeh dil Dard ki uss nadi mein jo hai beh rahi  Saari majbooriyan Paa gayi hai darmiyan Magar dil hatheela kahey  Tum hi iski ho tamanna Tum hi iski aarzoo Dil hai mera ik jazeera Tum samandar chaar su  Dil ka main kya karun Main jiyun ya marun Kya karun kya karun Tum kaho kya karun  Soya hai yeh dil Bas tumhare haseen sapno ki baahon mein Khoya hai yeh dil Beete lamhon ko jaati huyi raahon mein Goya hai yeh dil Aaj bhi unn mohabbat bhari baaton mein Roya hai yeh dil Yaad karke tumhein chandani raaton mein  Gehri mayusiyan chha rahi hain yahaan Magar dil hatheela kahey  Tum hi iski ho tamanna Tum hi iski aarzoo Dil hai mera ik jazeera Tum samandar chaar su  Dil ka main kya karun Main jiyun ya marun Kya karun kya karun Tum kaho kya karun  Kya karun kya karun Main kya karun,https://i.ytimg.com/vi/-_xkd-AApsY/hqdefault.jpg,Namaste England (Original Motion Picture Soundtrack),bollywood,https://www.youtube.com/results?search_query=Ziddi%20Hai%20Dil%20Mannan%20Shah
Kem Cho,"Ikka, Jyotica Tangri",2018,"Karo haathon ko upar Kas aavi gayo Aa kar.. main chaavi gayo Fafda jalebi sab khaavi gayo Floor pe aag lagavi gayo Unh.. naacho sab slowly slowly girl I like teri chaniya choli I get the money, mere paas cash Ladkiyon ke saath khelun aankh micholiaan  Kem chho? Majja maa… Majja maa…  Jebein dono bhari hain Bahar dekho ek lambi gaadi khadi hai Jo bhi jalta hai, kaan kholke toh sun Tere time se mehangi meri ghadi hai  Hum aage sab peeche Ab duniya joote ke neeche Tere bhai ki photo har ladki Ab apne phone mein kheeche  Kem chho… majja maa?  Majja maa…  (Ok!)  Pocket mein ho rokdo Chokha laage chokro Jo naache toh naache saare Koi na inko tok ro [x2]  Karo haathon ko upar Kas aavi gayo Aa kar main chaavi gayo Fafda jalebi sab khaavi gayo Floor pe aag lagavi gayo Unh.. naacho sab slowly slowly girl I like teri chaniya choli  I get the money, mere paas cash Ladkiyon ke saath kheloon aankh micholiyan Kem chho… majja maa?  Make money, money money money Make money, money money money Make money, money money money Make money… (Majja maa)  Make money, money money money Make money, money money money Make money, money money money Make money… Kem chho… majja maa?",https://i.ytimg.com/vi/29Jn9il7QtQ/hqdefault.jpg,Baazaar (Original Motion Picture Soundtrack),"desi hip hop, hindi hip hop, bollywood, desi, hindi pop",https://www.youtube.com/results?search_query=Kem%20Cho%20Ikka%2C%20Jyotica%20Tangri
Billionaire,"Yo Yo Honey Singh, Simar Kaur, Singhsta",2018,"Yo Yo Honey Singh!  Chamke jaise chamke hai aatish Hai tu Indian par lage from Marrakesh [x2]  Italy ka khayenge dono hum pizza Diplomatic passport mera chahiye no visa Italy ka khayenge dono hum pizza Vegas ka hotel hoga MGM 5 sitara  Khol botal khol ke botal peg bana de yaara Yaar tera billionaire le nazara, le nazara Mehanga hotel karke total bill aayega 12 Yaar tera billionaire le nazara  Le nazara... Le nazara... Le nazara... Le nazara...  (Yo Yo Honey Singh!)  Spain ki summer Cruising in the Hummar Color hai tera brown Kardashian jaisi kamar  Jo bhi main gaata hoon Sach hai uske mayne Tu hai meri Kim Aur main hoon tera Kanye [x2]  Tere liye hi tha main single Tere liye hoon kawaara  Khol botal khol ke botal peg bana de yaara Yaar tera billionaire le nazara, le nazara Mehanga hotel karke total bill ayega bhara Yaar tera billionaire le nazara...  Billionaires Billionaires lage mere pichhe But I don't care rakhun jooti ke niche Yeh tera cash nahi, yeh tera dil hai Jo mujhe tere paas teri ore kheeche  Rab ne fursat se tujhe banaya top class Tarasha tujhe haathon se Phir bheja mere paas Apna ghar chhod Baby mere paas hain do villas Dubai mein Chivas California mein grass  Kyunki main mothi 'saami Gentleman par harami Kyunki main mothi 'saami Gentleman par harami Kyunki main mothi 'saami Gentleman par harami Charted ki tanki full Chal Mumbai to Miami  Khol botal khol ke botal peg bana de yaara Yaar tera billionaire le nazara, le nazara Mehanga hotel karke total bill ayega bhara Yaar tera billionaire le nazara…  Le nazara... Le nazara... Le nazara... Le nazara...  Yo Yo Honey Singh! Le nazara...  Mothi 'saami gentleman par harami Kyunki main mothi 'saami Gentleman par harami Kyunki main mothi 'saami Gentleman par harami Kyunki main mothi 'saami Gentleman par harami … Harami…",https://i.ytimg.com/vi/fiRdp7riFFA/hqdefault.jpg,Baazaar (Original Motion Picture Soundtrack),"bollywood, hindi hip hop, desi, hindi pop, punjabi pop",https://www.youtube.com/results?search_query=Billionaire%20Yo%20Yo%20Honey%20Singh%2C%20Simar%20Kaur%2C%20Singhsta
Adhura Lafz,"Rahat Fateh Ali Khan, Pratibha Singh",2018,Saari duniya ki nemat mujhko mil gayi hai Maine mangi jo mannat mujhko mil gayi hai [x2]  Faasley darmiyaan se fanaa ho gaye Mere khwabon ki jannat Mujhko mill gayi hain  Tere bina main adhura lafz hoon Padh le mujhe main tera ishq hoon [x3]  Sajnaa… aa… Sajnaa… Sajnaa…  Ho.. kehta hai dil yeh Tujhpe kar loon sajda re Lagta hai chehra Tera jaise Rab ka re  Jism-o-jaan de doon tujhko Aise apna re Deta hai jaise koi Jaan ka sadqa re  Dekho baahon mein aake Saari duniya bhula ke Kehta hai lamha pyaar ka…  Tere bina main adhoora lafz hoon Padh le mujhe main tera ishq hoon [x3]  Ho… ho…  Tu karey agar ishaara Chhod doon main jahaan ko Kaash bin kahey tu samjhe Mere dard ki zubaan ko [x2]  Ho.. chaahat ka tu dariya Jeene ka tu zariya Chaahun sada main saath tera  Tere bina main adhura lafz hoon Padh le mujhe main tera ishq hoon [x4],https://i.ytimg.com/vi/KNY7u9B6hpI/hqdefault.jpg,Baazaar (Original Motion Picture Soundtrack),"sufi, qawwali, bollywood, hindi pop, desi, ghazal",https://www.youtube.com/results?search_query=Adhura%20Lafz%20Rahat%20Fateh%20Ali%20Khan%2C%20Pratibha%20Singh
La La La,"Neha Kakkar, Bilal Saeed",2018,Kudiye mainu saari khabar Mere peeche ki ki kardi ae tu Haan tu… Yes I'm talkin' to you Jhootha mainu pyaar dikha ke Matlab poora kardi ae tu Haan tu… Yeah!  Rakh soniye jawaani nu sambhal ke Saadi nazar ve teri har chaal te Bhaavein ban le tu tezz Vekhi aauna ek phase Jadon beh ke pachtavengi  Gaane mitraan de gaave gi La La La… La La La… Ni tu mere peeche aavengi La La La… La La La… Gaane mitraan de gaavengi La La La… La La La… Kalli beh ke pachtaavengi La La La… La La La…  Mundeya ni tu paayi kadar Tere liye kya kya karti hoon main Haan main! Sabse ladti hoon main Mere peeche duniya saari Par tere pe hi marti hoon main Haan main... Yeah!  Par rakhin na tu koi khushfehmi Jadon vekhega tu meinu vich Grammy Fer mere naal kheechi photo Apne friend'an nu tu kadd ke vekhawenga  Gaane mere hee tu laavenga La La La… La La La… Jadon gaddi tu chalavenga La La La… La La La… Gaane mere hi tu gaavenga La La La… La La La… Jadon gaddi tu chalavein ga La La La… La La La…  Tere pyaar di ikk menu lodh si Baaki hor kisi cheez di na thod si Ve tu kadar na paai mere pyaar di Kyunki dil vich tere koi chor si  Hun mainu koi parwaah nahi Teri meri ik honi raah nahi Karni main tere naal salah nai Fer kivein tu manaavenga  Gaane mere hi tu gaavenga La La La… La La La… Jadon gaddi tu chalavenga La La La… La La La… Gaane mere hi tu gaavenga La La La… La La La… Jadon gaddi tu chalavenga La La La… La La La… Gaane mere hi tu gaavenga La La La… La La La… Jadon gaddi tu chalavenga La La La… La La La… Yeah…,https://i.ytimg.com/vi/H3l1B_0Jdmc/hqdefault.jpg,Baazaar (Original Motion Picture Soundtrack),"bollywood, hindi pop, desi, desi pop, gujarati garba",https://www.youtube.com/results?search_query=La%20La%20La%20Neha%20Kakkar%2C%20Bilal%20Saeed
Chhod Diya,Arijit Singh,2018,Chhod diya wo raasta Jis raaste se tum the guzrein  Chhod diya wo raasta Jis raaste se tum the guzrein Tod diya wo aaina Jis aaine mein tera aks dikhe  Main shehar mein tere Tha gairo sa Mujhe apna koyi na mila Tere lamhon se Mere jakhmon se Ab toh main door chala  Rukh na kiya unn galiyon ka Jin galiyon mein teri baatein ho Chhod diya wo raasta Jis raaste se tum the guzrein  Main tha musafir raahan ka teri Tujh tak mera tha daayara  Main tha musafir raahan ka teri Tujh tak mera tha daayara Main bhi kabhi tha mehbar tera Khanabadosh main ab thehra Khanabadosh main ab thehra  chhoota nahi unn foolon ko Jin foolon mein teri khusboo ho Ruth gaya unn khwaabon se Jin khwaabon mein tera khwaab bhi ho  Kuchh bhi na paya maine safar mein Hoke safar ka main reh gaya  Kuchh bhi na paya maine safar mein Hoke safar ka main reh gaya Kaagaz ka boshida ghar tha Bheegte baarish mein beh gaya Bheegte baarish mein beh gaya  Dekhun nahi uss chaandni ko Jis mein ke teri perchhayi ho Door hoon main in hawaaon se Ye hawa tujhe chhoo ke bhi aayi na ho,https://i.ytimg.com/vi/KMz2pTfRIxw/hqdefault.jpg,Baazaar (Original Motion Picture Soundtrack),"hindi pop, bollywood, desi, bangla pop",https://www.youtube.com/results?search_query=Chhod%20Diya%20Arijit%20Singh
Hua Shankhnaad,Kailash Kher,2018,"Hua Shankhnaad Shastra utha kar Aah Ban ran Shetra tera hai Jab more view me tu hai gheera Ban laal dhara tu sorya dikha Jaha Dust bhi disha taad raha Kill hardya me gaad raha Ghane andhkaar me tumhe chata Partivedi se gatirodh hata chal balwan chasvan swang bhara Dushkaram, Adharam ka hai pehra Har shatru annar moond bhara Dhwaj apni vijay ka tu lahra Chale apni sikha sa dassehra Un Maad krodh ka dassehra Yahi parav nayay ka dassehra Yahi Lakshya vijay ka dassehra  Ram huye ek pretame Ek ravan ka sanghar kiya Iss yug me so so ravan  Fir Ram ne.. avtar liya  Hua Shankhnaad Shastra utha kar Aah Ban ran Shetra tera hai Jab more view me tu hai gheera Ban laal dhara tu sorya dikha  Bhesh badal, narka ravan Hai langh raha laxamn rekh Har Yug me loot ti sita ne Hai Ram tera rasta dekha..  Hua Shankhnaad Shastra utha kar Aah Ban ran Shetra tera hai Jab more view me tu hai gheera Ban laal dhara tu sorya dikha Jab more view me tu hai gheera Ban laal dhara tu sorya dikha  Itna to tu kaam karde Khel tamam karde Abdra imaam karde Dra imaam dra imaam Shish geera de dhad se Taap bhuja de dhad se Shatru mita de jad se Shatru mita, shatru mita  Puch raha hai, lax parsan ye Pap ka mardan, kab hoga Toot raha hai dherya ram ka Hasham Shankhnaad ab hoga Khol raha, acrosh rakt me Paap dahan ho javega re Taan diyo ab baan ram ne Ravan bachna pavega..  Hua Shankhnaad Shastra utha kar Aah Ban ran Shetra tera hai Jab more view me tu hai gheera Ban laal dhara tu sorya dikha Jab more view me tu hai gheera Ban laal dhara tu sorya dikha Kill hardya me gaad raha Ghane andhkaar me tumhe chata Partivedi se gatirodh hata chal balwan chasvan swang bhara Dushkaram, Adharam ka hai pehra Har shatru annar moond bhara Dhwaj apni vijay ka tu lahra Chale apni sikha sa dassehra Un Maad krodh ka dassehra Yahi parav nayay ka dassehra Yahi Lakshya vijay ka dassehra..",https://i.ytimg.com/vi/fWCxWHsczWg/hqdefault.jpg,Dassehra,"sufi, bhajan, bollywood, qawwali, hindi pop",https://www.youtube.com/results?search_query=Hua%20Shankhnaad%20Kailash%20Kher
Ae Ri Mai Re,Ustad Rashid Khan,2018,"Ae... Aa..aa...  Ae Ri Mai Re, Mai Re Ae Ri Mai Re, Mai Re  Ka se kahoo Jiya ki baat Piya more  Zid se chooda ke mujhse haath..  Ae Ri Mai Re... Mai Re Ae Ri Mai Re... Mai Re  Haahahaaaaa...  Mai Re..  Dil ka wo milna Mil kar bichoodna Dil ka wo milna Mil kar bichoodna  Do pal kaa.. wo saaath... Do.. pal kaa.. Haa wo saaath... Do pal kaa.. wo saaath...  Jaane Bhool huyi kaano se Ho gayi dil ki maar  Ae Ri Mai Re... Mai Re Ae Ri Mai Re... Mai Re Ae Ri Mai Re... Mai Re",https://i.ytimg.com/vi/f8A_3SJfzcw/hqdefault.jpg,"Ae Ri Mai Re (From ""Dassehra"")","sufi, ghazal, qawwali",https://www.youtube.com/results?search_query=Ae%20Ri%20Mai%20Re%20Ustad%20Rashid%20Khan
Silent Mode,"Mika Singh, Shreya Ghoshal, Rahul Seth",2018,"Hhhhhhh  Likh diya hai naam tera Dil ke sign board pe  Ooo…  Likh diya hai naam tera Dil ke sign board pe Kah di wo baat tujhe bhi silent mode pe  Aaja setting kar le Thodi flirting kar le Aaja setting kar le Thodi flirting kar le Bajne de song koi Love ke record pe  O meri jaan, idhar tu aa I wanna touch you, kiss you, hug you baby Nazar naa chura My sweetheart, give me start Dha, dha, dha, dhai dhai Ankhon se tu goli na chala  Ooo…  Mast mast chal teri crazy mujhko kar gai Yeh killer nigah teri ankh mein utar gai  Haye…  Chhaila teri laila to, teri aada pe mar gai Dil ki facebook pe tujhko login main kar gai  Are…  Charcha ka tera mere ghar se leke road pe Likh diya hai naam tera Dil ke sign board pe Kah di wo baat tujhe bhi silent mode pe  O baby tere julfon ka ye rub, mujhko faasne laga Dekh ke yeh figure tera, main shikar ho gaya  Dude tera attitude, jadu sa chala raha Lele chance aaj raat, maan le mera kaha  Oo ho gaya hun lampalet tere dress code pe  Likh diya hai naam tera Dil ke sign board pe Kah di wo baat tujhe bhi silent mode pe",https://i.ytimg.com/vi/myWztIXNpVw/hqdefault.jpg,Dassehra,"bollywood, desi, hindi pop",https://www.youtube.com/results?search_query=Silent%20Mode%20Mika%20Singh%2C%20Shreya%20Ghoshal%2C%20Rahul%20Seth
Maee Re,"Rekha Bhardwaj, Madhushree",2018,Are Maee Maee re Are Maee Maee re  Maee re Chhedein hai logaan Maee re Ghoorein hai logaan Maee re Taadein hai logaan Taana marey hai logaan..  Daiyaa Vairi bhaei hain ye angddayi re Bacchi Tera aanchal dhal ke Bacchi Chal sambhal-sambhal ke Bacchi Yahaan majnoo dil ke Fhasna nahin enn se mil ke Warna karti firengi Maee maee re..  Maee re  Chhedein hai logaan Maee re  Ghoorein hai logaan  Solah toh geya hain pichhein Aaya saal sattrah Hariyar jawaani pe chaddha hain Bhaari khatraa Rasiyaan humaarein rash ke Bhawaron hai sarey Fhans geyi main toh raama Kar ke eshaarey  Chhankaai paayal kaahein Tunne dagar mein Sonne ki pagdi kaahein Baandhi kammar mein Ghar se akeli kaahein Neekli goozariyan Essiliyein latoo tujjh pe Sabb ki nazariyaan Machhli kaantein mein aan ke Kabb bacch paayi re..  Arey nahin re chhedein hai logan Maee re ghoorein hai logan Are Maee Maee re...,https://i.ytimg.com/vi/bx19iwvf6Cg/hqdefault.jpg,Dassehra,"bollywood, ghazal, hindi pop, sufi, desi",https://www.youtube.com/results?search_query=Maee%20Re%20Rekha%20Bhardwaj%2C%20Madhushree
Joganiya,"Mamta Sharma, Chhaila Bihari, Siddhant Madhav",2018,"Joganiya.. Joganiya..  Baaje re piano mann Jhoome re lahriya tann Chooka laga jo nano se maare saayan   Joganiya.. Joganiya..  Paa Paa, Baaje re piano mann Jhoome re lahriya tann Chooka laga jo nano se maare saayan Me hu choori do dhaari Meethee hu thodi khaari Saayan se karke yaari me to margayiya..  Joganiya..le gayi le gayi sab kuch loot laat ke Joganiya..le gayi le gayi sab kuch loot laat ke  Haaa.. Cafe chino Kaafi pilayide Moh liyo re, Moh liyo re Pinjre wali munniyaa ko moh liyo re (Moh liyo re, Moh liyo re Pinjre wali munniyaa ko moh liyo re)  Holi hai..  Baaba ji ke teen kabootar Teeno uadan baaj Eko maare kanki saala Dujan loandi baaz Zakiraa sara.. rara.. sara.. rara.. sara.. rara.. sara.. rara.. sara.. rara.. sara.. rara..  Joganiya..le gayi le gayi sab kuch loot laat ke Joganiya..le gayi le gayi sab kuch loot laat ke  Aee... Mua, angrezi ki film dikha ke (Film dikha ke tujhe moh liyo re Sonpur ki Joganiya.. Karta Sata ke tujhe moh liyo re Sonpur ki Joganiya..)",https://i.ytimg.com/vi/V0yJl-tSlzw/hqdefault.jpg,Dassehra,"bollywood, desi",https://www.youtube.com/results?search_query=Joganiya%20Mamta%20Sharma%2C%20Chhaila%20Bihari%2C%20Siddhant%20Madhav
